3, 12107, Note_on_c, 1, 53, 127
3, 12107, Note_on_c, 1, 50, 127
3, 12288, Note_off_c, 1, 59, 127
3, 12288, Note_off_c, 1, 53, 127
3, 12288, Note_off_c, 1, 50, 127
3, 12288, Note_on_c, 1, 59, 127
3, 12288, Note_on_c, 1, 53, 127
3, 12288, Note_on_c, 1, 50, 127
3, 12460, Note_off_c, 1, 59, 127
3, 12460, Note_off_c, 1, 53, 127
3, 12460, Note_off_c, 1, 50, 127
3, 12460, Note_on_c, 1, 59, 127
3, 12460, Note_on_c, 1, 53, 127
3, 12460, Note_on_c, 1, 50, 127
3, 12672, Note_off_c, 1, 59, 127
3, 12672, Note_off_c, 1, 53, 127
3, 12672, Note_off_c, 1, 50, 127
3, 12672, Note_on_c, 1, 59, 127
3, 12672, Note_on_c, 1, 52, 127
3, 12672, Note_on_c, 1, 48, 127
3, 12855, Note_off_c, 1, 59, 127
3, 12855, Note_off_c, 1, 52, 127
3, 12855, Note_off_c, 1, 48, 127
3, 12855, Note_on_c, 1, 59, 127
3, 12855, Note_on_c, 1, 52, 127
3, 12855, Note_on_c, 1, 48, 127
3, 13056, Note_off_c, 1, 59, 127
3, 13056, Note_off_c, 1, 52, 127
3, 13056, Note_off_c, 1, 48, 127
3, 13056, Note_on_c, 1, 57, 127
3, 13056, Note_on_c, 1, 52, 127
3, 13056, Note_on_c, 1, 48, 127
3, 13263, Note_off_c, 1, 57, 127
3, 13263, Note_off_c, 1, 52, 127
3, 13263, Note_off_c, 1, 48, 127
3, 13263, Note_on_c, 1, 57, 127
3, 13263, Note_on_c, 1, 52, 127
3, 13263, Note_on_c, 1, 48, 127
3, 13440, Note_off_c, 1, 57, 127
3, 13440, Note_off_c, 1, 52, 127
3, 13440, Note_off_c, 1, 48, 127
3, 13440, Note_on_c, 1, 57, 127
3, 13440, Note_on_c, 1, 52, 127
3, 13440, Note_on_c, 1, 48, 127
3, 13628, Note_off_c, 1, 57, 127
3, 13628, Note_off_c, 1, 52, 127
3, 13628, Note_off_c, 1, 48, 127
3, 13628, Note_on_c, 1, 57, 127
3, 13628, Note_on_c, 1, 52, 127
3, 13628, Note_on_c, 1, 48, 127
3, 13824, Note_off_c, 1, 57, 127
3, 13824, Note_off_c, 1, 52, 127
3, 13824, Note_off_c, 1, 48, 127
3, 13824, Note_on_c, 1, 57, 127
3, 13824, Note_on_c, 1, 52, 127
3, 13824, Note_on_c, 1, 48, 127
3, 14003, Note_off_c, 1, 57, 127
3, 14003, Note_off_c, 1, 52, 127
3, 14003, Note_off_c, 1, 48, 127
3, 14003, Note_on_c, 1, 57, 127
3, 14003, Note_on_c, 1, 52, 127
3, 14003, Note_on_c, 1, 48, 127
3, 14208, Note_off_c, 1, 57, 127
3, 14208, Note_off_c, 1, 52, 127
3, 14208, Note_off_c, 1, 48, 127
3, 14208, Note_on_c, 1, 57, 127
3, 14208, Note_on_c, 1, 52, 127
3, 14208, Note_on_c, 1, 47, 127
3, 14427, Note_off_c, 1, 57, 127
3, 14427, Note_off_c, 1, 52, 127
3, 14427, Note_off_c, 1, 47, 127
3, 14427, Note_on_c, 1, 57, 127
3, 14427, Note_on_c, 1, 52, 127
3, 14427, Note_on_c, 1, 47, 127
3, 14592, Note_off_c, 1, 57, 127
3, 14592, Note_off_c, 1, 52, 127
3, 14592, Note_off_c, 1, 47, 127
3, 14592, Note_on_c, 1, 57, 127
3, 14592, Note_on_c, 1, 51, 127
3, 14592, Note_on_c, 1, 47, 127
3, 14782, Note_off_c, 1, 57, 127
3, 14782, Note_off_c, 1, 51, 127
3, 14782, Note_off_c, 1, 47, 127
3, 14782, Note_on_c, 1, 57, 127
3, 14782, Note_on_c, 1, 51, 127
3, 14782, Note_on_c, 1, 47, 127
3, 14976, Note_off_c, 1, 57, 127
3, 14976, Note_off_c, 1, 51, 127
3, 14976, Note_off_c, 1, 47, 127
3, 14976, Note_on_c, 1, 57, 127
3, 14976, Note_on_c, 1, 52, 127
3, 14976, Note_on_c, 1, 48, 127
3, 15174, Note_off_c, 1, 57, 127
3, 15174, Note_off_c, 1, 52, 127
3, 15174, Note_off_c, 1, 48, 127
3, 15174, Note_on_c, 1, 57, 127
3, 15174, Note_on_c, 1, 52, 127
3, 15174, Note_on_c, 1, 48, 127
3, 15360, Note_off_c, 1, 57, 127
3, 15360, Note_off_c, 1, 52, 127
3, 15360, Note_off_c, 1, 48, 127
3, 15360, Note_on_c, 1, 57, 127
3, 15360, Note_on_c, 1, 52, 127
3, 15360, Note_on_c, 1, 48, 127
3, 15537, Note_off_c, 1, 57, 127
3, 15537, Note_off_c, 1, 52, 127
3, 15537, Note_off_c, 1, 48, 127
3, 15537, Note_on_c, 1, 57, 127
3, 15537, Note_on_c, 1, 52, 127
3, 15537, Note_on_c, 1, 48, 127
3, 15744, Note_off_c, 1, 57, 127
3, 15744, Note_off_c, 1, 52, 127
3, 15744, Note_off_c, 1, 48, 127
3, 15744, Note_on_c, 1, 57, 127
3, 15744, Note_on_c, 1, 51, 127
3, 15744, Note_on_c, 1, 47, 127
3, 15956, Note_off_c, 1, 57, 127
3, 15956, Note_off_c, 1, 51, 127
3, 15956, Note_off_c, 1, 47, 127
3, 15956, Note_on_c, 1, 57, 127
3, 15956, Note_on_c, 1, 51, 127
3, 15956, Note_on_c, 1, 47, 127
3, 16128, Note_off_c, 1, 57, 127
3, 16128, Note_off_c, 1, 51, 127
3, 16128, Note_off_c, 1, 47, 127
3, 16128, Note_on_c, 1, 57, 127
3, 16128, Note_on_c, 1, 51, 127
3, 16128, Note_on_c, 1, 47, 127
3, 16317, Note_off_c, 1, 57, 127
3, 16317, Note_off_c, 1, 51, 127
3, 16317, Note_off_c, 1, 47, 127
3, 16317, Note_on_c, 1, 57, 127
3, 16317, Note_on_c, 1, 51, 127
3, 16317, Note_on_c, 1, 47, 127
3, 16512, Note_off_c, 1, 57, 127
3, 16512, Note_off_c, 1, 51, 127
3, 16512, Note_off_c, 1, 47, 127
3, 16512, Note_on_c, 1, 57, 127
3, 16512, Note_on_c, 1, 52, 127
3, 16512, Note_on_c, 1, 48, 127
3, 16653, Note_off_c, 1, 57, 127
3, 16653, Note_off_c, 1, 52, 127
3, 16653, Note_off_c, 1, 48, 127
3, 16653, Note_on_c, 1, 57, 127
3, 16653, Note_on_c, 1, 52, 127
3, 16653, Note_on_c, 1, 48, 127
3, 16896, Note_off_c, 1, 57, 127
3, 16896, Note_off_c, 1, 52, 127
3, 16896, Note_off_c, 1, 48, 127
3, 16896, Note_on_c, 1, 57, 127
3, 16896, Note_on_c, 1, 52, 127
3, 16896, Note_on_c, 1, 48, 127
3, 17121, Note_off_c, 1, 57, 127
3, 17121, Note_off_c, 1, 52, 127
3, 17121, Note_off_c, 1, 48, 127
3, 17121, Note_on_c, 1, 57, 127
3, 17121, Note_on_c, 1, 52, 127
3, 17121, Note_on_c, 1, 48, 127
3, 17280, Note_off_c, 1, 57, 127
3, 17280, Note_off_c, 1, 52, 127
3, 17280, Note_off_c, 1, 48, 127
3, 17280, Note_on_c, 1, 57, 127
3, 17280, Note_on_c, 1, 51, 127
3, 17280, Note_on_c, 1, 47, 127
3, 17664, Note_off_c, 1, 57, 127
3, 17664, Note_off_c, 1, 51, 127
3, 17664, Note_off_c, 1, 47, 127
3, 18816, Note_on_c, 1, 64, 127
3, 18816, Note_on_c, 1, 59, 127
3, 18816, Note_on_c, 1, 55, 127
3, 19037, Note_off_c, 1, 64, 127
3, 19037, Note_off_c, 1, 59, 127
3, 19037, Note_off_c, 1, 55, 127
3, 19037, Note_on_c, 1, 64, 127
3, 19037, Note_on_c, 1, 59, 127
3, 19037, Note_on_c, 1, 55, 127
3, 19200, Note_off_c, 1, 64, 127
3, 19200, Note_off_c, 1, 59, 127
3, 19200, Note_off_c, 1, 55, 127
3, 19200, Note_on_c, 1, 64, 127
3, 19200, Note_on_c, 1, 59, 127
3, 19200, Note_on_c, 1, 55, 127
3, 19400, Note_off_c, 1, 64, 127
3, 19400, Note_off_c, 1, 59, 127
3, 19400, Note_off_c, 1, 55, 127
3, 19400, Note_on_c, 1, 64, 127
3, 19400, Note_on_c, 1, 59, 127
3, 19400, Note_on_c, 1, 55, 127
